id;model;front;temples;lenses;size
1;International Agent;Avon Hawaii encompassing;bluetooth reboot indigo;Keyboard Cambridgeshire;Lane
2;Optional Canadian Dollar;maroon Avon;Configurable digital cross-platform;Practical Hawaii Configuration;Maryland Unbranded
3;B2B Awesome;Cape Verde Escudo mindshare;Afghani reinvent;vertical withdrawal Movies;circuit
4;Soft Automotive;mission-critical;Tasty Handcrafted high-level;drive;withdrawal Games
5;Mauritius Rupee;Won protocol;AGP Administrator;Awesome Concrete Chips monitor North Carolina;morph Awesome deposit
6;Infrastructure;Field;deposit plum Intelligent;driver;IB Shirt Bolivar Fuerte
7;Tunisian Dinar;Facilitator;iterate Gorgeous AI;multi-byte quantify Jewelery;markets users Awesome Fresh Chicken
8;multi-tasking partnerships;South Carolina circuit;deposit;Rubber;Belarussian Ruble Kenyan Shilling Developer
9;bi-directional lavender Car;Associate Beauty Savings Account;knowledge user;Chief bypass;transmitter Savings Account
10;Applications;silver;Regional Vatu human-resource;Salad bus Savings Account;parse Forint
